Timestamp,market-price
2021-10-31 00:00:00,61731.29
2021-11-01 00:00:00,61373.44
2021-11-02 00:00:00,61029.5
2021-11-03 00:00:00,63241.11
2021-11-04 00:00:00,62954.86
2021-11-05 00:00:00,61441.83
2021-11-06 00:00:00,61072.32
2021-11-07 00:00:00,61516.31
2021-11-08 00:00:00,63293.22
2021-11-09 00:00:00,67562.17
2021-11-10 00:00:00,66954.11
2021-11-11 00:00:00,64976.73
2021-11-12 00:00:00,64838.81
2021-11-13 00:00:00,64254.67
2021-11-14 00:00:00,64420.94
2021-11-15 00:00:00,65468.75
2021-11-16 00:00:00,63584.25
2021-11-17 00:00:00,60172.26
2021-11-18 00:00:00,60381.35
2021-11-19 00:00:00,56921.34
2021-11-20 00:00:00,58133.02
2021-11-21 00:00:00,59777.98
2021-11-22 00:00:00,58755.9
2021-11-23 00:00:00,56301.52
2021-11-24 00:00:00,57578.22
2021-11-25 00:00:00,57187.54
